risk gene,clearance gene,correlation,t
coeff16,coeff14,0.295771466767333,155
coeff39,coeff13,0.295774846317853,305
coeff2,coeff4,0.295791775383497,197
coeff16,coeff22,0.29580997810118,199
coeff3,coeff4,0.295810891861695,289
coeff5,coeff4,0.295821256115345,275
coeff33,coeff4,0.295839312725086,189
coeff17,coeff4,0.29584050479558,249
coeff2,coeff21,0.295846134679117,248
coeff1,coeff4,0.295847775457819,272
coeff2,coeff14,0.295864302780793,164
coeff5,coeff22,0.295864984969084,279
coeff19,coeff4,0.29587073459914,208
coeff34,coeff4,0.295878592889142,207
coeff37,coeff4,0.295881559576927,195
coeff2,coeff22,0.295890934782892,211
coeff33,coeff22,0.295895030314866,195
coeff28,coeff4,0.295897053208914,205
coeff15,coeff4,0.295910612391554,232
coeff34,coeff22,0.295910751583652,211
coeff29,coeff4,0.295911549475251,194
coeff37,coeff22,0.295922388157251,198
coeff17,coeff22,0.295922411376573,267
coeff28,coeff22,0.295923556131594,209
coeff17,coeff14,0.29592425457201,203
coeff1,coeff22,0.295925752737071,274
coeff5,coeff14,0.295935064113297,227
coeff15,coeff22,0.295938241569715,232
coeff19,coeff22,0.295942078646027,220
coeff15,coeff14,0.29595127548477,189
coeff41,coeff4,0.295955931242401,216
coeff29,coeff22,0.295968751101795,200
coeff1,coeff14,0.295977540856861,221
coeff31,coeff4,0.295983564818193,231
coeff1,coeff13,0.295985092244845,397
coeff41,coeff22,0.295986647517679,225
coeff23,coeff4,0.296000202119444,213
coeff7,coeff4,0.296003557271635,240
coeff39,coeff4,0.296003940610081,228
coeff25,coeff4,0.296008494205333,255
coeff2,coeff28,0.296010476208472,228
coeff36,coeff4,0.29601799471165,245
coeff27,coeff4,0.296021006497706,261
coeff35,coeff4,0.296036810688404,257
coeff16,coeff26,0.296038607517562,292
coeff27,coeff22,0.296039846760447,269
coeff31,coeff22,0.29603989603051,245
coeff38,coeff4,0.296040919368706,250
coeff24,coeff4,0.296045160797622,247
coeff40,coeff4,0.296045209569386,239
coeff7,coeff22,0.296050031754448,253
coeff30,coeff4,0.296050125754289,249
coeff18,coeff4,0.296052232483769,244
coeff31,coeff5,0.296057859600753,992
coeff32,coeff4,0.296062448675194,255
coeff38,coeff22,0.296063231134374,255
coeff20,coeff4,0.296064550821297,260
coeff39,coeff22,0.296065740791883,242
coeff25,coeff22,0.296071065093891,273
coeff14,coeff4,0.296073056592655,284
coeff36,coeff22,0.296077090520597,256
coeff21,coeff4,0.296079848961777,235
coeff22,coeff4,0.296083891973583,259
coeff2,coeff30,0.296093913016124,258
coeff35,coeff22,0.296097446673041,283
coeff30,coeff22,0.296098670880117,262
coeff32,coeff22,0.296101107468868,264
coeff26,coeff4,0.296102585094567,267
coeff27,coeff13,0.296102618697449,347
coeff11,coeff4,0.296107777313481,257
coeff40,coeff22,0.296112776029708,253
coeff20,coeff22,0.296116390152011,278
coeff24,coeff22,0.296119937097911,261
coeff2,coeff26,0.29612563273123,322
coeff18,coeff22,0.296131962637658,263
coeff14,coeff22,0.29615651186104,309
coeff33,coeff26,0.296160038078659,308
coeff26,coeff22,0.296162933716891,280
coeff29,coeff13,0.296247936443824,282
coeff28,coeff5,0.296367206410992,895
coeff23,coeff13,0.296410490763927,327
coeff40,coeff13,0.296696064111582,371
coeff32,coeff13,0.296741352250536,319
coeff16,coeff28,0.296777272721971,332
coeff10,coeff21,0.296778725094269,345
coeff29,coeff15,0.296845291608158,10000
coeff17,coeff13,0.297048211736884,447
coeff15,coeff13,0.297498846643969,428
coeff7,coeff13,0.297956788046115,353
coeff37,coeff9,0.29797129910101,10000
coeff3,coeff14,0.29817798482618,246
coeff24,coeff13,0.298828724169023,325
coeff26,coeff13,0.299219581136584,316
coeff28,coeff8,0.29986728024125,972
coeff31,coeff9,0.300340818147983,10000
coeff21,coeff13,0.300496464720308,308
coeff32,coeff15,0.30058908753558,10000
coeff25,coeff13,0.300769509278352,394
coeff6,coeff13,0.301378007531949,325
coeff25,coeff15,0.301446293678157,10000
coeff18,coeff9,0.301735482939066,10000
coeff41,coeff5,0.301942410704825,1006
coeff31,coeff8,0.301974207778987,1194
coeff21,coeff5,0.302084148804961,1029
coeff36,coeff15,0.302818295166594,10000
coeff23,coeff9,0.303131545720487,10000
coeff33,coeff13,0.30323780081588,345
coeff22,coeff13,0.303422748290065,385
coeff29,coeff8,0.303446769235321,1005
coeff22,coeff15,0.303802794902375,10000
coeff39,coeff9,0.303991512365994,10000
coeff19,coeff15,0.305516800174053,10000
coeff15,coeff9,0.3059381827359,10000
coeff32,coeff9,0.307072547787478,10000
coeff34,coeff15,0.307209865169265,10000
coeff17,coeff5,0.308239567672441,946
coeff39,coeff15,0.308385771604467,10000
coeff35,coeff13,0.308452114379912,410
coeff15,coeff26,0.30851567775277,422
coeff33,coeff9,0.308712827541044,10000
coeff20,coeff9,0.309151393889342,10000
coeff34,coeff8,0.309235440187491,255
coeff19,coeff13,0.309301551340368,363
coeff22,coeff9,0.310306317858296,10000
coeff22,coeff8,0.31312914370445,560
coeff16,coeff9,0.313808978662336,10000
coeff23,coeff15,0.314143221670374,10000
coeff28,coeff9,0.31428416228829,10000
coeff21,coeff8,0.315451114336966,1195
coeff19,coeff9,0.316769037964411,10000
coeff30,coeff15,0.31711574042294,10000
coeff23,coeff8,0.317599665513187,502
coeff26,coeff8,0.318113558374651,1101
coeff22,coeff5,0.31852087523543,971
coeff26,coeff25,0.318746087222344,583
coeff14,coeff9,0.319947500807394,10000
coeff4,coeff15,0.321059523946891,10000
coeff34,coeff9,0.321855509199634,10000
coeff1,coeff9,0.322179873076744,510
coeff35,coeff9,0.322233145729228,10000
coeff40,coeff9,0.323120937222854,10000
coeff2,coeff12,0.323660491521284,241
coeff6,coeff9,0.323749650215004,10000
coeff35,coeff15,0.326489132613769,10000
coeff36,coeff9,0.326616575121061,10000
coeff8,coeff7,0.326899750728897,228
coeff3,coeff7,0.326960229522127,233
coeff1,coeff7,0.327005848349486,232
coeff16,coeff7,0.327135943829704,240
coeff5,coeff7,0.32722490281713,256
coeff17,coeff7,0.327270709209985,255
coeff15,coeff7,0.327303640221058,257
coeff2,coeff7,0.327402256067625,265
coeff31,coeff15,0.327547480242412,10000
coeff7,coeff9,0.32890276270782,10000
coeff8,coeff9,0.330388661080731,10000
coeff41,coeff15,0.331702634977761,10000
coeff6,coeff15,0.331825255323049,10000
coeff13,coeff9,0.332880800457908,10000
coeff6,coeff8,0.333105516432358,495
coeff36,coeff8,0.333698173764427,493
