SNX14,0.41528,0.27991,0.37528,0.39174,0.25895,0.30001,0.22806,0.29979,0.30791,0.23086,0.33177,0.34618,0.23102,0.22573,0.32927,0.25193,0.31515,0.27197,0.44411,0.31086,0.33694,0.23075,0.22739,0.25405,0.23438,0.34503,0.39104,0.39559,0.30472,0.19904,0.27485,0.25938,0.36356,0.14682,0.29368,0.19246,0.4162,0.22317,0.24653,0.40295
VPS33B,0.41393,0.27053,0.25532,0.3934,0.33604,0.36417,0.24586,0.28473,0.28796,0.43657,0.17331,0.34572,0.21165,0.25159,0.37079,0.19129,0.28825,0.35254,0.17967,0.32727,0.31725,0.39415,0.36733,0.29566,0.31986,0.44896,0.23336,0.39363,0.3394,0.30315,0.15359,0.23234,0.43538,0.38176,0.3656,0.24348,0.32467,0.31027,0.40083,0.30113
CLN3,0.41348,0.27642,0.3101,0.23282,0.37118,0.26163,0.28158,0.18859,0.48927,0.37315,0.21298,0.36712,0.29404,0.32575,0.2738,0.33256,0.39436,0.33743,0.31416,0.45512,0.22106,0.26621,0.19273,0.54648,0.35369,0.28733,0.25348,0.30675,0.33928,0.33857,0.4049,0.21276,0.27866,0.24591,0.42703,0.21336,0.33663,0.1913,0.26119,0.45
PSAP,0.41186,0.21032,0.32022,0.29816,0.21667,0.3431,0.33532,0.34463,0.25278,0.27673,0.17425,0.28799,0.28927,0.36979,0.46101,0.20382,0.31438,0.24512,0.29692,0.29348,0.32562,0.37519,0.24273,0.19993,0.39449,0.29646,0.37722,0.31992,0.27219,0.3781,0.39753,0.27977,0.36004,0.24924,0.33259,0.38609,0.32784,0.37687,0.22017,0.32673
RPTOR,0.4089,0.30067,0.22477,0.29885,0.38438,0.14694,0.28289,0.2947,0.36478,0.50998,0.30232,0.29392,0.3096,0.22452,0.23777,0.31457,0.40066,0.33126,0.21752,0.32932,0.2745,0.34249,0.17262,0.27371,0.40728,0.20644,0.26806,0.39895,0.31579,0.26668,0.37707,0.3584,0.34149,0.37807,0.29036,0.35218,0.25895,0.4498,0.2714,0.31355
MFHAS1,0.40791,0.34641,0.2972,0.24527,0.32869,0.14762,0.27489,0.1489,0.3028,0.30603,0.22544,0.40849,0.40384,0.31497,0.083742,0.13829,0.23865,0.33146,0.23306,0.23906,0.33885,0.17167,0.33717,0.48662,0.49905,0.37955,0.2722,0.39182,0.28385,0.39113,0.19847,0.33566,0.29729,0.36782,0.22731,0.39005,0.24493,0.45011,0.17482,0.28817
CTSD,0.40751,0.21111,0.36295,0.37513,0.25289,0.2685,0.38882,0.27236,0.26982,0.28125,0.26653,0.2557,0.31698,0.41096,0.32231,0.31151,0.32664,0.26172,0.29833,0.2814,0.27133,0.31767,0.34574,0.24838,0.25192,0.21625,0.40204,0.3299,0.44996,0.27742,0.29668,0.16702,0.35025,0.29817,0.2771,0.23858,0.30488,0.36367,0.19386,0.19205
HYAL3,0.40448,0.35531,0.30227,0.38955,0.39139,0.30679,0.45999,0.28504,0.22576,0.35489,0.32411,0.19025,0.38824,0.18225,0.18295,0.26648,0.39703,0.30931,0.30132,0.3574,0.26195,0.29573,0.33002,0.28996,0.3031,0.45603,0.46715,0.2416,0.15279,0.31287,0.41935,0.36176,0.32102,0.29416,0.36655,0.3421,0.36669,0.40276,0.3988,0.30518
HGS,0.40355,0.24627,0.35356,0.37747,0.42515,0.26312,0.20573,0.1775,0.2493,0.33266,0.38201,0.36072,0.34053,0.40309,0.2874,0.29287,0.31688,0.25237,0.23983,0.26884,0.32065,0.39386,0.40014,0.2131,0.23847,0.19628,0.24406,0.25222,0.23822,0.3537,0.29411,0.30414,0.18413,0.32352,0.37688,0.28008,0.29648,0.39031,0.3184,0.24033
TPCN2,0.39882,0.28537,0.24371,0.18215,0.38183,0.3249,0.39682,0.31453,0.17287,0.20789,0.27547,0.48088,0.43765,0.22038,0.48081,0.30044,0.31909,0.31878,0.35147,0.36823,0.27549,0.33903,0.22847,0.38555,0.20874,0.32984,0.1791,0.48371,0.36721,0.33877,0.38198,0.44813,0.435,0.35732,0.42695,0.19578,0.54001,0.22446,0.42805,0.20716
