risk gene,clearance gene,~,correlation,bgs correlation,cobre correlation,hcpep correlation,stages correlation,bgs t
risk_score18,lyso_score40,0,0.433462564140208,0.40676046869071,0.460164659589705,0.200740584156481,-0.07869624852784,2132
risk_score25,lyso_score38,0,0.432678489559309,0.411639154971858,0.453717824146759,0.470834252075357,-0.143535682530844,559
risk_score25,lyso_score35,0,0.432330011967798,0.28226684912356,0.582393174812036,0.26408190563294,0.215434248461594,520
risk_score8,lyso_score35,0,0.43224289256992,0.30814131029322,0.556344474846621,0.236985411851401,0.03329121477036,1823
risk_score28,lyso_score12,0,0.432068653774165,0.35579562093229,0.508341686616041,0.150468311127709,-0.249945560108355,558
risk_score14,lyso_score38,0,0.432025094075226,0.413294423531533,0.450755764618919,0.44600306002475,-0.120092392548575,11380
risk_score5,lyso_score29,0,0.431415258290083,0.355708501534412,0.507122015045754,0.331779576591961,-0.113556159282143,626
risk_score2,lyso_score40,0,0.431337352294568,0.439604481690581,0.423070222898555,0.330472671747192,-0.029630924141158,3312
risk_score8,ubq_score12,0,0.431328138892205,0.463126719117545,0.399529558666866,0.203702901804623,-0.093947459482847,825
risk_score23,lyso_score29,0,0.429803549429347,0.345689770778483,0.51391732808021,0.363493800825016,-0.138045246587041,2438
risk_score28,lyso_score29,0,0.428496758461182,0.347170800542403,0.509822716379961,0.299803971389952,-0.233648551830718,1626
risk_score2,lyso_score17,0,0.428148280869671,0.433854601430657,0.422441960308686,0.349989117429073,0.020654497121925,532
risk_score13,ubq_score29,0,0.427974042073916,0.489001180287204,0.366946903860628,0.32751035409905,-0.176391148416775,851
risk_score26,lyso_score37,0,0.4278433629771,0.470793226130777,0.384893499823422,0.137660643648976,-0.298836584941265,1610
risk_score22,lyso_score38,0,0.427015728697262,0.408677095444018,0.445354361950506,0.431627106732294,-0.092117314168247,501
risk_score22,lyso_score35,0,0.426100975019547,0.289149281555894,0.5630526684832,0.232367681399885,0.116170652588716,1037
risk_score8,ubq_score29,0,0.425578258632281,0.447358108101691,0.40379840916287,0.23898933261338,-0.247505366355553,1012
risk_score23,lyso_score3,0,0.425273340739709,0.430631183709184,0.419915497770234,0.420736233025888,-0.181707284806806,4786
risk_score13,ubq_score40,0,0.424794184051382,0.435161392398822,0.414426975703943,0.13522108793874,-0.104143983378481,1244
risk_score40,ubq_score12,0,0.424010109470483,0.440301436873602,0.407718782067364,0.214855156479983,-0.015076911401236,719
risk_score33,lyso_score37,0,0.423530952782156,0.469050838173224,0.378011067391088,0.166761058192493,-0.220837534628511,1446
risk_score29,lyso_score12,0,0.423443833384279,0.329137085181731,0.517750581586826,0.164931391409817,-0.276439092281625,1341
risk_score25,lyso_score12,0,0.423182475190646,0.326175025653891,0.5201899247274,0.175038122209362,-0.257004692036101,523
risk_score21,ubq_score12,0,0.422921116997013,0.441172630852379,0.404669603141647,0.2473535236199,-0.034162712539217,707
risk_score28,ubq_score29,0,0.422275944512486,0.466959972624161,0.377591916400811,0.326639084202537,-0.17935424083089,1557
risk_score19,ubq_score12,0,0.421570766329909,0.436990899754252,0.406150632905567,0.224264871362318,-0.015425510508779,1000
risk_score23,ubq_score12,0,0.421440087233093,0.44631267532716,0.396567499139026,0.218601617034987,0.023966188643584,857
risk_score2,lyso_score35,0,0.421004490243705,0.441608227841767,0.400400752645642,0.312785892847989,0.09717200122762,2013
risk_score24,ubq_score29,0,0.420917370845827,0.470444748539266,0.371389993152388,0.295534748897041,-0.194954050893441,768
risk_score25,lyso_score29,0,0.420786691749011,0.326349264449647,0.515224119048375,0.246307999744085,-0.141444087885586,1000
risk_score37,lyso_score29,0,0.420743132050072,0.338458860754639,0.503027403345505,0.29405359007297,-0.139526792794099,1172
risk_score37,ubq_score14,0,0.420307535060684,0.351613889834163,0.489001180287204,0.147854501438172,-0.197481394423128,669
risk_score23,lyso_score35,0,0.419741258974479,0.33140218952655,0.508080328422408,0.36166413404234,0.137522347925727,3704
risk_score31,lyso_score38,0,0.41969769927554,0.389075230921549,0.450320167629531,0.481202363843856,-0.151204862896791,3072
risk_score27,ubq_score12,0,0.419567020178724,0.433070526849758,0.406063513507689,0.239860602509892,-0.020654497121925,757
risk_score36,ubq_score14,0,0.419479900780846,0.349000307897834,0.489959493663858,0.103768244674639,-0.156608149063708,553
risk_score10,lyso_score12,0,0.419087863490397,0.348303352714812,0.489872374265981,0.179742979650529,-0.273127400759966,1149
risk_score4,ubq_score12,0,0.41860870680207,0.425578258632281,0.411639154971858,0.21738183917987,-0.041570443574507,817
risk_score13,lyso_score29,0,0.418042430715865,0.353007800200205,0.483077061231525,0.229492490741393,-0.198091442861328,783
risk_score38,ubq_score12,0,0.417824632221171,0.438036332528784,0.397612931913558,0.213548251635215,0.006971982150861,809
risk_score19,ubq_score14,0,0.417563274027538,0.338981577141905,0.496144970913171,0.100980181005799,-0.111987463298199,501
risk_score1,lyso_score10,0,0.41747615462966,0.410071005810061,0.42488130344926,0.330908306695449,-0.276439092281625,19274
risk_score13,lyso_score37,0,0.417301915833905,0.504072836120036,0.330530995547774,0.112568070629415,-0.141879836770014,2431
