MTOR,KRTAP9-4
MTOR,KRTAP4-11
MTOR,KRTAP8-1
MTOR,KRTAP19-8
MTOR,HLA-DPB1
MTOR,KRTAP10-6
MTOR,NKX6-2
MTOR,HLA-DMA
MTOR,KRTAP5-5
NEU1,NEU1
NEU1,KRTAP22-1
NEU1,HLA-F
NEU1,KRTAP5-11
NEU1,KRTAP5-10
NEU1,KRTAP10-5
NEU1,NKX2-8
NEU1,KRTAP5-7
NEU1,KRTAP3-2
NEU1,NKX2-5
NEU1,HLA-DRA
NEU1,HLA-DRB1
NEU1,HLA-DQB1
NEU1,KRTAP2-1
NEU1,KRTAP2-3
NEU1,ERVK13-1
NEU1,HLA-H
NEU1,KRTAP10-2
NEU1,HLA-C
NEU1,EXOC3-AS1
NEU1,HLA-DRB3
NEU1,NKX1-2
NEU1,HLA-DOB
NEU1,KRTAP17-1
NEU1,KRTAP10-8
NEU1,KRTAP4-1
NEU1,HLA-DMB
NEU1,LINC00266-1
NEU1,KRTAP10-9
NEU1,KRTAP6-3
NEU1,HLA-DPA1
NEU1,KRTAP6-2
NEU1,KRTAP5-3
NEU1,KRTAP23-1
NEU1,KRTAP19-5
NEU1,URB1-AS1
NEU1,NKX3-1
NEU1,HLA-A
NEU1,GAS8-AS1
NEU1,KRTAP20-2
NEU1,HLA-DOA
NEU1,KRTAP10-3
NEU1,HLA-DQB2
NEU1,HLA-DRB4
NEU1,KRTAP20-1
NEU1,HLA-G
NEU1,KRTAP5-9
NEU1,KRTAP19-2
NEU1,WT1-AS
NEU1,KRTAP10-11
NEU1,KRTAP21-1
NEU1,KRTAP6-1
NEU1,KRTAP12-2
NEU1,HLA-E
NEU1,KRTAP12-4
NEU1,NKX2-3
NEU1,KRTAP10-1
NEU1,NKX6-3
NEU1,KRTAP10-12
NEU1,LINC-PINT
NEU1,ERC2-IT1
NEU1,KRTAP12-1
NEU1,KRTAP5-6
NEU1,RUSC1-AS1
NEU1,KRTAP12-3
NEU1,KRTAP5-2
NEU1,KRTAP5-8
NEU1,KRTAP4-12
NEU1,KRTAP10-10
NEU1,NKX6-1
NEU1,NKX2-2
NEU1,KRTAP19-1
NEU1,KRTAP13-4
NEU1,HLA-DRB5
NEU1,KRTAP1-3
NEU1,KRTAP13-1
NEU1,HOXB-AS3
NEU1,HLA-B
NEU1,KRTAP9-4
NEU1,KRTAP4-11
NEU1,KRTAP8-1
NEU1,KRTAP19-8
NEU1,HLA-DPB1
NEU1,KRTAP10-6
NEU1,NKX6-2
NEU1,HLA-DMA
NEU1,KRTAP5-5
CLTA,CLTA
CLTA,KRTAP22-1
CLTA,HLA-F
CLTA,KRTAP5-11
CLTA,KRTAP5-10
CLTA,KRTAP10-5
CLTA,NKX2-8
CLTA,KRTAP5-7
CLTA,KRTAP3-2
CLTA,NKX2-5
CLTA,HLA-DRA
CLTA,HLA-DRB1
CLTA,HLA-DQB1
CLTA,KRTAP2-1
CLTA,KRTAP2-3
CLTA,ERVK13-1
CLTA,HLA-H
CLTA,KRTAP10-2
CLTA,HLA-C
CLTA,EXOC3-AS1
CLTA,HLA-DRB3
CLTA,NKX1-2
CLTA,HLA-DOB
CLTA,KRTAP17-1
CLTA,KRTAP10-8
CLTA,KRTAP4-1
CLTA,HLA-DMB
CLTA,LINC00266-1
CLTA,KRTAP10-9
CLTA,KRTAP6-3
CLTA,HLA-DPA1
CLTA,KRTAP6-2
CLTA,KRTAP5-3
CLTA,KRTAP23-1
CLTA,KRTAP19-5
CLTA,URB1-AS1
CLTA,NKX3-1
CLTA,HLA-A
CLTA,GAS8-AS1
CLTA,KRTAP20-2
CLTA,HLA-DOA
CLTA,KRTAP10-3
CLTA,HLA-DQB2
CLTA,HLA-DRB4
CLTA,KRTAP20-1
CLTA,HLA-G
CLTA,KRTAP5-9
CLTA,KRTAP19-2
CLTA,WT1-AS
CLTA,KRTAP10-11
CLTA,KRTAP21-1
CLTA,KRTAP6-1
CLTA,KRTAP12-2
CLTA,HLA-E
CLTA,KRTAP12-4
CLTA,NKX2-3
CLTA,KRTAP10-1
CLTA,NKX6-3
CLTA,KRTAP10-12
CLTA,LINC-PINT
CLTA,ERC2-IT1
CLTA,KRTAP12-1
CLTA,KRTAP5-6
CLTA,RUSC1-AS1
CLTA,KRTAP12-3
CLTA,KRTAP5-2
CLTA,KRTAP5-8
CLTA,KRTAP4-12
CLTA,KRTAP10-10
CLTA,NKX6-1
CLTA,NKX2-2
CLTA,KRTAP19-1
CLTA,KRTAP13-4
CLTA,HLA-DRB5
CLTA,KRTAP1-3
CLTA,KRTAP13-1
CLTA,HOXB-AS3
CLTA,HLA-B
CLTA,KRTAP9-4
CLTA,KRTAP4-11
CLTA,KRTAP8-1
CLTA,KRTAP19-8
CLTA,HLA-DPB1
CLTA,KRTAP10-6
CLTA,NKX6-2
CLTA,HLA-DMA
CLTA,KRTAP5-5
RAB7A,RAB7A
RAB7A,KRTAP22-1
RAB7A,HLA-F
RAB7A,KRTAP5-11
RAB7A,KRTAP5-10
RAB7A,KRTAP10-5
RAB7A,NKX2-8
RAB7A,KRTAP5-7
RAB7A,KRTAP3-2
RAB7A,NKX2-5
RAB7A,HLA-DRA
RAB7A,HLA-DRB1
RAB7A,HLA-DQB1
RAB7A,KRTAP2-1
RAB7A,KRTAP2-3
RAB7A,ERVK13-1
RAB7A,HLA-H
RAB7A,KRTAP10-2
RAB7A,HLA-C
RAB7A,EXOC3-AS1
RAB7A,HLA-DRB3
RAB7A,NKX1-2
RAB7A,HLA-DOB
RAB7A,KRTAP17-1
RAB7A,KRTAP10-8
RAB7A,KRTAP4-1
RAB7A,HLA-DMB
RAB7A,LINC00266-1
RAB7A,KRTAP10-9
RAB7A,KRTAP6-3
RAB7A,HLA-DPA1
RAB7A,KRTAP6-2
RAB7A,KRTAP5-3
RAB7A,KRTAP23-1
RAB7A,KRTAP19-5
RAB7A,URB1-AS1
RAB7A,NKX3-1
RAB7A,HLA-A
RAB7A,GAS8-AS1
RAB7A,KRTAP20-2
RAB7A,HLA-DOA
RAB7A,KRTAP10-3
RAB7A,HLA-DQB2
RAB7A,HLA-DRB4
RAB7A,KRTAP20-1
RAB7A,HLA-G
RAB7A,KRTAP5-9
RAB7A,KRTAP19-2
RAB7A,WT1-AS
RAB7A,KRTAP10-11
RAB7A,KRTAP21-1
RAB7A,KRTAP6-1
RAB7A,KRTAP12-2
RAB7A,HLA-E
RAB7A,KRTAP12-4
RAB7A,NKX2-3
RAB7A,KRTAP10-1
RAB7A,NKX6-3
RAB7A,KRTAP10-12
RAB7A,LINC-PINT
RAB7A,ERC2-IT1
RAB7A,KRTAP12-1
RAB7A,KRTAP5-6
RAB7A,RUSC1-AS1
RAB7A,KRTAP12-3
RAB7A,KRTAP5-2
RAB7A,KRTAP5-8
RAB7A,KRTAP4-12
RAB7A,KRTAP10-10
RAB7A,NKX6-1
RAB7A,NKX2-2
RAB7A,KRTAP19-1
RAB7A,KRTAP13-4
RAB7A,HLA-DRB5
RAB7A,KRTAP1-3
RAB7A,KRTAP13-1
RAB7A,HOXB-AS3
RAB7A,HLA-B
RAB7A,KRTAP9-4
RAB7A,KRTAP4-11
RAB7A,KRTAP8-1
RAB7A,KRTAP19-8
RAB7A,HLA-DPB1
RAB7A,KRTAP10-6
RAB7A,NKX6-2
RAB7A,HLA-DMA
RAB7A,KRTAP5-5
ATG7,ATG7
ATG7,KRTAP22-1
ATG7,HLA-F
ATG7,KRTAP5-11
ATG7,KRTAP5-10
ATG7,KRTAP10-5
ATG7,NKX2-8
ATG7,KRTAP5-7
ATG7,KRTAP3-2
ATG7,NKX2-5
ATG7,HLA-DRA
ATG7,HLA-DRB1
ATG7,HLA-DQB1
ATG7,KRTAP2-1
ATG7,KRTAP2-3
ATG7,ERVK13-1
ATG7,HLA-H
ATG7,KRTAP10-2
ATG7,HLA-C
ATG7,EXOC3-AS1
ATG7,HLA-DRB3
ATG7,NKX1-2
ATG7,HLA-DOB
ATG7,KRTAP17-1
ATG7,KRTAP10-8
ATG7,KRTAP4-1
ATG7,HLA-DMB
ATG7,LINC00266-1
ATG7,KRTAP10-9
ATG7,KRTAP6-3
ATG7,HLA-DPA1
ATG7,KRTAP6-2
ATG7,KRTAP5-3
ATG7,KRTAP23-1
ATG7,KRTAP19-5
ATG7,URB1-AS1
ATG7,NKX3-1
ATG7,HLA-A
ATG7,GAS8-AS1
ATG7,KRTAP20-2
ATG7,HLA-DOA
ATG7,KRTAP10-3
ATG7,HLA-DQB2
ATG7,HLA-DRB4
ATG7,KRTAP20-1
ATG7,HLA-G
ATG7,KRTAP5-9
ATG7,KRTAP19-2
ATG7,WT1-AS
ATG7,KRTAP10-11
ATG7,KRTAP21-1
ATG7,KRTAP6-1
ATG7,KRTAP12-2
ATG7,HLA-E
ATG7,KRTAP12-4
ATG7,NKX2-3
ATG7,KRTAP10-1
ATG7,NKX6-3
ATG7,KRTAP10-12
ATG7,LINC-PINT
ATG7,ERC2-IT1
ATG7,KRTAP12-1
ATG7,KRTAP5-6
ATG7,RUSC1-AS1
ATG7,KRTAP12-3
ATG7,KRTAP5-2
ATG7,KRTAP5-8
ATG7,KRTAP4-12
ATG7,KRTAP10-10
ATG7,NKX6-1
ATG7,NKX2-2
ATG7,KRTAP19-1
ATG7,KRTAP13-4
ATG7,HLA-DRB5
ATG7,KRTAP1-3
ATG7,KRTAP13-1
ATG7,HOXB-AS3
ATG7,HLA-B
ATG7,KRTAP9-4
ATG7,KRTAP4-11
ATG7,KRTAP8-1
ATG7,KRTAP19-8
ATG7,HLA-DPB1
ATG7,KRTAP10-6
ATG7,NKX6-2
ATG7,HLA-DMA
ATG7,KRTAP5-5
ARL8B,ARL8B
ARL8B,KRTAP22-1
ARL8B,HLA-F
ARL8B,KRTAP5-11
ARL8B,KRTAP5-10
ARL8B,KRTAP10-5
ARL8B,NKX2-8
ARL8B,KRTAP5-7
ARL8B,KRTAP3-2
ARL8B,NKX2-5
ARL8B,HLA-DRA
ARL8B,HLA-DRB1
ARL8B,HLA-DQB1
ARL8B,KRTAP2-1
ARL8B,KRTAP2-3
ARL8B,ERVK13-1
ARL8B,HLA-H
ARL8B,KRTAP10-2
ARL8B,HLA-C
ARL8B,EXOC3-AS1
ARL8B,HLA-DRB3
ARL8B,NKX1-2
ARL8B,HLA-DOB
ARL8B,KRTAP17-1
ARL8B,KRTAP10-8
ARL8B,KRTAP4-1
ARL8B,HLA-DMB
ARL8B,LINC00266-1
ARL8B,KRTAP10-9
ARL8B,KRTAP6-3
ARL8B,HLA-DPA1
ARL8B,KRTAP6-2
ARL8B,KRTAP5-3
ARL8B,KRTAP23-1
ARL8B,KRTAP19-5
ARL8B,URB1-AS1
ARL8B,NKX3-1
ARL8B,HLA-A
ARL8B,GAS8-AS1
ARL8B,KRTAP20-2
ARL8B,HLA-DOA
ARL8B,KRTAP10-3
ARL8B,HLA-DQB2
ARL8B,HLA-DRB4
ARL8B,KRTAP20-1
ARL8B,HLA-G
ARL8B,KRTAP5-9
ARL8B,KRTAP19-2
ARL8B,WT1-AS
ARL8B,KRTAP10-11
ARL8B,KRTAP21-1
ARL8B,KRTAP6-1
ARL8B,KRTAP12-2
ARL8B,HLA-E
ARL8B,KRTAP12-4
ARL8B,NKX2-3
ARL8B,KRTAP10-1
ARL8B,NKX6-3
ARL8B,KRTAP10-12
ARL8B,LINC-PINT
ARL8B,ERC2-IT1
ARL8B,KRTAP12-1
ARL8B,KRTAP5-6
ARL8B,RUSC1-AS1
ARL8B,KRTAP12-3
ARL8B,KRTAP5-2
ARL8B,KRTAP5-8
ARL8B,KRTAP4-12
ARL8B,KRTAP10-10
ARL8B,NKX6-1
ARL8B,NKX2-2
ARL8B,KRTAP19-1
ARL8B,KRTAP13-4
ARL8B,HLA-DRB5
ARL8B,KRTAP1-3
ARL8B,KRTAP13-1
ARL8B,HOXB-AS3
ARL8B,HLA-B
ARL8B,KRTAP9-4
ARL8B,KRTAP4-11
ARL8B,KRTAP8-1
ARL8B,KRTAP19-8
ARL8B,HLA-DPB1
ARL8B,KRTAP10-6
ARL8B,NKX6-2
ARL8B,HLA-DMA
ARL8B,KRTAP5-5
ULK1,ULK1
ULK1,KRTAP22-1
ULK1,HLA-F
ULK1,KRTAP5-11
ULK1,KRTAP5-10
ULK1,KRTAP10-5
ULK1,NKX2-8
ULK1,KRTAP5-7
ULK1,KRTAP3-2
ULK1,NKX2-5
ULK1,HLA-DRA
ULK1,HLA-DRB1
ULK1,HLA-DQB1
ULK1,KRTAP2-1
ULK1,KRTAP2-3
ULK1,ERVK13-1
ULK1,HLA-H
ULK1,KRTAP10-2
ULK1,HLA-C
ULK1,EXOC3-AS1
ULK1,HLA-DRB3
ULK1,NKX1-2
ULK1,HLA-DOB
ULK1,KRTAP17-1
ULK1,KRTAP10-8
ULK1,KRTAP4-1
ULK1,HLA-DMB
ULK1,LINC00266-1
ULK1,KRTAP10-9
ULK1,KRTAP6-3
ULK1,HLA-DPA1
ULK1,KRTAP6-2
ULK1,KRTAP5-3
ULK1,KRTAP23-1
ULK1,KRTAP19-5
ULK1,URB1-AS1
ULK1,NKX3-1
ULK1,HLA-A
ULK1,GAS8-AS1
ULK1,KRTAP20-2
ULK1,HLA-DOA
ULK1,KRTAP10-3
ULK1,HLA-DQB2
ULK1,HLA-DRB4
ULK1,KRTAP20-1
ULK1,HLA-G
ULK1,KRTAP5-9
ULK1,KRTAP19-2
ULK1,WT1-AS
ULK1,KRTAP10-11
ULK1,KRTAP21-1
ULK1,KRTAP6-1
ULK1,KRTAP12-2
ULK1,HLA-E
ULK1,KRTAP12-4
ULK1,NKX2-3
ULK1,KRTAP10-1
ULK1,NKX6-3
ULK1,KRTAP10-12
ULK1,LINC-PINT
ULK1,ERC2-IT1
ULK1,KRTAP12-1
ULK1,KRTAP5-6
ULK1,RUSC1-AS1
ULK1,KRTAP12-3
ULK1,KRTAP5-2
ULK1,KRTAP5-8
ULK1,KRTAP4-12
ULK1,KRTAP10-10
ULK1,NKX6-1
ULK1,NKX2-2
ULK1,KRTAP19-1
ULK1,KRTAP13-4
ULK1,HLA-DRB5
ULK1,KRTAP1-3
ULK1,KRTAP13-1
ULK1,HOXB-AS3
ULK1,HLA-B
ULK1,KRTAP9-4
ULK1,KRTAP4-11
ULK1,KRTAP8-1
ULK1,KRTAP19-8
ULK1,HLA-DPB1
ULK1,KRTAP10-6
ULK1,NKX6-2
ULK1,HLA-DMA
ULK1,KRTAP5-5
ANKRD27,ANKRD27
ANKRD27,KRTAP22-1
ANKRD27,HLA-F
ANKRD27,KRTAP5-11
ANKRD27,KRTAP5-10
ANKRD27,KRTAP10-5
ANKRD27,NKX2-8
ANKRD27,KRTAP5-7
ANKRD27,KRTAP3-2
ANKRD27,NKX2-5
ANKRD27,HLA-DRA
ANKRD27,HLA-DRB1
ANKRD27,HLA-DQB1
ANKRD27,KRTAP2-1
ANKRD27,KRTAP2-3
ANKRD27,ERVK13-1
ANKRD27,HLA-H
ANKRD27,KRTAP10-2
ANKRD27,HLA-C
ANKRD27,EXOC3-AS1
ANKRD27,HLA-DRB3
ANKRD27,NKX1-2
ANKRD27,HLA-DOB
ANKRD27,KRTAP17-1
ANKRD27,KRTAP10-8
ANKRD27,KRTAP4-1
ANKRD27,HLA-DMB
ANKRD27,LINC00266-1
ANKRD27,KRTAP10-9
ANKRD27,KRTAP6-3
ANKRD27,HLA-DPA1
ANKRD27,KRTAP6-2
ANKRD27,KRTAP5-3
ANKRD27,KRTAP23-1
ANKRD27,KRTAP19-5
ANKRD27,URB1-AS1
ANKRD27,NKX3-1
ANKRD27,HLA-A
ANKRD27,GAS8-AS1
ANKRD27,KRTAP20-2
ANKRD27,HLA-DOA
ANKRD27,KRTAP10-3
ANKRD27,HLA-DQB2
ANKRD27,HLA-DRB4
ANKRD27,KRTAP20-1
ANKRD27,HLA-G
ANKRD27,KRTAP5-9
ANKRD27,KRTAP19-2
ANKRD27,WT1-AS
ANKRD27,KRTAP10-11
ANKRD27,KRTAP21-1
ANKRD27,KRTAP6-1
ANKRD27,KRTAP12-2
ANKRD27,HLA-E
ANKRD27,KRTAP12-4
ANKRD27,NKX2-3
ANKRD27,KRTAP10-1
ANKRD27,NKX6-3
ANKRD27,KRTAP10-12
ANKRD27,LINC-PINT
ANKRD27,ERC2-IT1
ANKRD27,KRTAP12-1
ANKRD27,KRTAP5-6
ANKRD27,RUSC1-AS1
ANKRD27,KRTAP12-3
ANKRD27,KRTAP5-2
ANKRD27,KRTAP5-8
ANKRD27,KRTAP4-12
ANKRD27,KRTAP10-10
ANKRD27,NKX6-1
ANKRD27,NKX2-2
ANKRD27,KRTAP19-1
ANKRD27,KRTAP13-4
ANKRD27,HLA-DRB5
ANKRD27,KRTAP1-3
ANKRD27,KRTAP13-1
ANKRD27,HOXB-AS3
ANKRD27,HLA-B
ANKRD27,KRTAP9-4
ANKRD27,KRTAP4-11
ANKRD27,KRTAP8-1
ANKRD27,KRTAP19-8
ANKRD27,HLA-DPB1
ANKRD27,KRTAP10-6
ANKRD27,NKX6-2
ANKRD27,HLA-DMA
ANKRD27,KRTAP5-5
CALCRL,CALCRL
CALCRL,KRTAP22-1
CALCRL,HLA-F
CALCRL,KRTAP5-11
CALCRL,KRTAP5-10
CALCRL,KRTAP10-5
CALCRL,NKX2-8
CALCRL,KRTAP5-7
CALCRL,KRTAP3-2
CALCRL,NKX2-5
CALCRL,HLA-DRA
CALCRL,HLA-DRB1
CALCRL,HLA-DQB1
CALCRL,KRTAP2-1
CALCRL,KRTAP2-3
CALCRL,ERVK13-1
CALCRL,HLA-H
CALCRL,KRTAP10-2
CALCRL,HLA-C
CALCRL,EXOC3-AS1
CALCRL,HLA-DRB3
CALCRL,NKX1-2
CALCRL,HLA-DOB
CALCRL,KRTAP17-1
CALCRL,KRTAP10-8
CALCRL,KRTAP4-1
CALCRL,HLA-DMB
CALCRL,LINC00266-1
CALCRL,KRTAP10-9
CALCRL,KRTAP6-3
CALCRL,HLA-DPA1
CALCRL,KRTAP6-2
CALCRL,KRTAP5-3
CALCRL,KRTAP23-1
CALCRL,KRTAP19-5
CALCRL,URB1-AS1
CALCRL,NKX3-1
CALCRL,HLA-A
CALCRL,GAS8-AS1
CALCRL,KRTAP20-2
CALCRL,HLA-DOA
CALCRL,KRTAP10-3
CALCRL,HLA-DQB2
CALCRL,HLA-DRB4
