,0
1032,CAPN10
1033,CAPN3
1034,CAPN5
1035,CAPN7
1036,CAPNS1
1037,CAPNS2
1038,CAPRIN1
1039,CAPRIN2
1040,CAPS
1041,CAPZA1
1042,CAPZB
1043,CARD10
1044,CARD14
1045,CARD16
1046,CARD19
1047,CARD8
1048,CARD9
1049,CARF
1050,CARHSP1
1051,CARM1
1052,CARMIL1
1053,CARMIL2
1054,CARMIL3
1055,CARNMT1
1056,CARNS1
1057,CARTPT
1058,CASC2
1060,CASD1
1061,CASK
1062,CASP1
